datetime,ppm,temp,rh,class
2021-09-11 07:01:14,411.74,27.26,67.24,1
2021-09-11 07:01:37,411.74,27.27,67.22,1
2021-09-11 07:01:59,395.19,27.27,67.22,1
2021-09-11 07:02:22,395.19,27.27,67.28,1
2021-09-11 07:02:45,389.85,27.28,67.26,1
2021-09-11 07:03:07,389.85,27.26,67.31,2
2021-09-11 07:03:30,389.85,27.27,67.3,2
2021-09-11 07:03:52,389.85,27.27,67.3,2
2021-09-11 07:04:15,345.27,27.29,67.28,2
2021-09-11 07:04:38,349.93,27.3,67.29,2
2021-09-11 07:05:00,400.62,27.31,67.26,1
2021-09-11 07:05:23,411.74,27.32,67.25,1
2021-09-11 07:05:45,389.85,27.33,67.25,1
2021-09-11 07:06:08,389.85,27.33,67.21,1
2021-09-11 07:06:31,384.58,27.33,67.22,1
2021-09-11 07:06:53,340.69,27.35,67.22,1
2021-09-11 07:07:16,327.34,27.35,67.21,1
2021-09-11 07:07:39,384.58,27.36,67.2,1
2021-09-11 07:08:01,384.58,27.37,67.2,2
2021-09-11 07:08:24,384.58,27.37,67.18,2
2021-09-11 07:08:47,384.58,27.36,67.19,2
2021-09-11 07:09:09,340.69,27.37,67.19,1
2021-09-11 07:09:32,384.58,27.38,67.23,1
2021-09-11 07:09:55,384.58,27.38,67.23,1
2021-09-11 07:10:17,384.58,27.4,67.25,1
2021-09-11 07:10:40,384.58,27.43,67.15,1
2021-09-11 07:11:02,384.58,27.43,67.13,1
2021-09-11 07:11:25,331.72,27.43,67.11,1
2021-09-11 07:11:48,384.58,27.43,67.1,1
2021-09-11 07:12:10,384.58,27.43,67.1,2
2021-09-11 07:12:33,384.58,27.45,67.13,2
2021-09-11 07:12:55,384.58,27.45,67.09,2
2021-09-11 07:13:18,384.58,27.45,67.11,2
2021-09-11 07:13:41,379.4,27.44,67.16,2
2021-09-11 07:14:03,384.58,27.45,67.21,2
2021-09-11 07:14:26,400.62,27.46,67.14,2
2021-09-11 07:14:49,384.58,27.47,67.12,2
2021-09-11 07:15:11,384.58,27.48,67.1,2
2021-09-11 07:15:34,389.85,27.48,67.1,2
2021-09-11 07:15:56,389.85,27.48,67.12,2
2021-09-11 07:16:20,389.85,27.48,67.12,2
2021-09-11 07:16:42,340.69,27.49,67.11,2
2021-09-11 07:17:05,340.69,27.49,67.09,2
2021-09-11 07:17:28,389.85,27.5,67.08,2
2021-09-11 07:17:50,384.58,27.5,67.03,2
2021-09-11 07:18:13,389.85,27.5,67.03,3
2021-09-11 07:18:36,400.62,27.49,67.23,3
2021-09-11 07:18:58,395.19,27.5,67.15,3
2021-09-11 07:19:21,400.62,27.52,67.11,3
2021-09-11 07:19:44,395.19,27.54,67.07,3
2021-09-11 07:20:06,389.85,27.56,67.05,3
2021-09-11 07:20:29,395.19,27.58,67.11,3
2021-09-11 07:20:51,406.14,27.59,67.06,3
2021-09-11 07:21:14,395.19,27.61,67.06,3
2021-09-11 07:21:37,349.93,27.61,67.13,3
2021-09-11 07:21:59,406.14,27.61,67.13,3
2021-09-11 07:22:22,349.93,27.62,67.12,3
2021-09-11 07:22:44,345.27,27.64,67.05,3
2021-09-11 07:23:07,389.85,27.66,67.21,3
2021-09-11 07:23:30,389.85,27.67,67.15,3
2021-09-11 07:23:52,389.85,27.69,67.07,3
2021-09-11 07:24:15,400.62,27.7,67.16,2
2021-09-11 07:24:38,406.14,27.72,67.23,2
2021-09-11 07:25:01,354.65,27.73,67.31,2
2021-09-11 07:25:23,406.14,27.73,67.22,2
2021-09-11 07:25:46,389.85,27.74,67.04,2
2021-09-11 07:26:08,389.85,27.71,66.61,2
2021-09-11 07:26:31,384.58,27.72,66.8,2
2021-09-11 07:26:54,384.58,27.72,66.95,2
2021-09-11 07:27:16,384.58,27.73,66.91,3
2021-09-11 07:27:39,384.58,27.76,66.94,3
2021-09-11 07:28:02,389.85,27.76,66.92,3
2021-09-11 07:28:24,395.19,27.77,66.93,3
2021-09-11 07:28:47,389.85,27.78,66.91,3
2021-09-11 07:29:13,389.85,27.78,67.02,3
2021-09-11 07:29:35,406.14,27.79,67.0,3
2021-09-11 07:29:58,389.85,27.8,66.96,3
2021-09-11 07:30:21,389.85,27.81,66.83,3
2021-09-11 07:30:43,406.14,27.82,66.9,3
2021-09-11 07:31:06,384.58,27.84,66.78,3
2021-09-11 07:31:29,395.19,27.86,66.67,3
2021-09-11 07:31:51,379.4,27.87,66.63,3
2021-09-11 07:32:14,340.69,27.88,66.6,3
2021-09-11 07:32:36,389.85,27.88,66.37,3
2021-09-11 07:32:59,389.85,27.88,66.46,3
2021-09-11 07:33:22,389.85,27.89,66.36,3
2021-09-11 07:33:44,389.85,27.9,66.3,3
2021-09-11 07:34:07,336.17,27.92,66.34,3
2021-09-11 07:34:29,340.69,27.92,66.24,3
2021-09-11 07:34:52,389.85,27.92,66.32,3
2021-09-11 07:35:15,384.58,27.93,66.36,3
2021-09-11 07:35:37,340.69,27.95,66.29,3
2021-09-11 07:36:00,389.85,27.95,66.32,3
2021-09-11 07:36:23,340.69,27.95,66.32,3
